mechanism,XH2_fuel,P_atm,T_K,1000/T,phi,diluent,label,IDT_s,IDT_ms
Reduced,0.0,20.0,1110.5263157894738,0.9004739336492891,1.0,N2,FigS2b,0.06753348287316345,67.53348287316345
Reduced,0.0,20.0,1136.842105263158,0.8796296296296297,1.0,N2,FigS2b,0.03900843390000403,39.00843390000403
Reduced,0.0,20.0,1163.157894736842,0.8597285067873304,1.0,N2,FigS2b,0.023158947960475705,23.158947960475704
Reduced,0.0,20.0,1189.4736842105262,0.84070796460177,1.0,N2,FigS2b,0.014109114230309897,14.109114230309897
Reduced,0.0,20.0,1215.7894736842104,0.8225108225108226,1.0,N2,FigS2b,0.0088073964434149,8.8073964434149
Reduced,0.0,20.0,1242.1052631578948,0.8050847457627118,1.0,N2,FigS2b,0.005625426816111783,5.6254268161117835
Reduced,0.0,20.0,1268.421052631579,0.7883817427385892,1.0,N2,FigS2b,0.0036716658701790384,3.6716658701790386
Reduced,0.0,20.0,1294.7368421052631,0.7723577235772358,1.0,N2,FigS2b,0.0024459935558826407,2.445993555882641
Reduced,0.0,20.0,1321.0526315789473,0.7569721115537849,1.0,N2,FigS2b,0.0016613444103632696,1.6613444103632695
Reduced,0.0,20.0,1347.3684210526317,0.7421875,1.0,N2,FigS2b,0.0011493256008486804,1.1493256008486803
Reduced,0.0,20.0,1373.6842105263158,0.7279693486590038,1.0,N2,FigS2b,0.0008091120316466109,0.8091120316466108
Reduced,0.0,20.0,1400.0,0.7142857142857143,1.0,N2,FigS2b,0.0005791471074300714,0.5791471074300714
Reduced,0.1,20.0,900.0,1.1111111111111112,1.0,N2,FigS2b,0.2477760648889151,247.7760648889151
Reduced,0.1,20.0,926.3157894736842,1.0795454545454546,1.0,N2,FigS2b,0.13507354859741,135.07354859741
Reduced,0.1,20.0,952.6315789473684,1.0497237569060773,1.0,N2,FigS2b,0.07629924693833844,76.29924693833844
Reduced,0.1,20.0,978.9473684210526,1.021505376344086,1.0,N2,FigS2b,0.04443561239265018,44.435612392650185
Reduced,0.1,20.0,1005.2631578947369,0.9947643979057591,1.0,N2,FigS2b,0.02657975123108441,26.579751231084412
Reduced,0.1,20.0,1031.578947368421,0.9693877551020408,1.0,N2,FigS2b,0.016287678710302345,16.287678710302345
Reduced,0.1,20.0,1057.8947368421052,0.945273631840796,1.0,N2,FigS2b,0.010209987580638121,10.20998758063812
Reduced,0.1,20.0,1084.2105263157894,0.9223300970873788,1.0,N2,FigS2b,0.006545111935876132,6.545111935876132
Reduced,0.1,20.0,1110.5263157894738,0.9004739336492891,1.0,N2,FigS2b,0.0042928287125642535,4.292828712564254
Reduced,0.1,20.0,1136.842105263158,0.8796296296296297,1.0,N2,FigS2b,0.0028819544799744833,2.881954479974483
Reduced,0.1,20.0,1163.157894736842,0.8597285067873304,1.0,N2,FigS2b,0.001979173150983707,1.9791731509837072
Reduced,0.1,20.0,1189.4736842105262,0.84070796460177,1.0,N2,FigS2b,0.0013875323695688767,1.3875323695688768
Reduced,0.1,20.0,1215.7894736842104,0.8225108225108226,1.0,N2,FigS2b,0.0009900294190339294,0.9900294190339294
Reduced,0.1,20.0,1242.1052631578948,0.8050847457627118,1.0,N2,FigS2b,0.0007167125222094752,0.7167125222094752
Reduced,0.1,20.0,1268.421052631579,0.7883817427385892,1.0,N2,FigS2b,0.0005251644691836318,0.5251644691836318
Reduced,0.1,20.0,1294.7368421052631,0.7723577235772358,1.0,N2,FigS2b,0.00038900795427044074,0.3890079542704407
Reduced,0.1,20.0,1321.0526315789473,0.7569721115537849,1.0,N2,FigS2b,0.000291251046571102,0.29125104657110196
Reduced,0.1,20.0,1347.3684210526317,0.7421875,1.0,N2,FigS2b,0.00022053865427486806,0.22053865427486805
Reduced,0.1,20.0,1373.6842105263158,0.7279693486590038,1.0,N2,FigS2b,0.00016904090763221553,0.16904090763221552
Reduced,0.1,20.0,1400.0,0.7142857142857143,1.0,N2,FigS2b,0.00013125113631980108,0.13125113631980106
Reduced,0.25,20.0,900.0,1.1111111111111112,1.0,N2,FigS2b,0.10428126687031945,104.28126687031946
Reduced,0.25,20.0,926.3157894736842,1.0795454545454546,1.0,N2,FigS2b,0.05401597901041191,54.01597901041191
Reduced,0.25,20.0,952.6315789473684,1.0497237569060773,1.0,N2,FigS2b,0.029097685915289915,29.097685915289915
Reduced,0.25,20.0,978.9473684210526,1.021505376344086,1.0,N2,FigS2b,0.01622099469487141,16.220994694871408
Reduced,0.25,20.0,1005.2631578947369,0.9947643979057591,1.0,N2,FigS2b,0.009317245881745186,9.317245881745185
Reduced,0.25,20.0,1031.578947368421,0.9693877551020408,1.0,N2,FigS2b,0.005493478894539173,5.493478894539173
Reduced,0.25,20.0,1057.8947368421052,0.945273631840796,1.0,N2,FigS2b,0.0033143674599941464,3.3143674599941466
Reduced,0.25,20.0,1084.2105263157894,0.9223300970873788,1.0,N2,FigS2b,0.002041852704083958,2.0418527040839582
Reduced,0.25,20.0,1110.5263157894738,0.9004739336492891,1.0,N2,FigS2b,0.0012832456735407695,1.2832456735407696
Reduced,0.25,20.0,1136.842105263158,0.8796296296296297,1.0,N2,FigS2b,0.0008227604340698104,0.8227604340698105
Reduced,0.25,20.0,1163.157894736842,0.8597285067873304,1.0,N2,FigS2b,0.000538335852544561,0.5383358525445611
Reduced,0.25,20.0,1189.4736842105262,0.84070796460177,1.0,N2,FigS2b,0.00035940402961784514,0.3594040296178451
Reduced,0.25,20.0,1215.7894736842104,0.8225108225108226,1.0,N2,FigS2b,0.00024464342294779344,0.24464342294779345
Reduced,0.25,20.0,1242.1052631578948,0.8050847457627118,1.0,N2,FigS2b,0.00016971783114610125,0.16971783114610126
Reduced,0.25,20.0,1268.421052631579,0.7883817427385892,1.0,N2,FigS2b,0.0001201577246986772,0.1201577246986772
Reduced,0.25,20.0,1294.7368421052631,0.7723577235772358,1.0,N2,FigS2b,8.710843216662167e-05,0.08710843216662167
Reduced,0.25,20.0,1321.0526315789473,0.7569721115537849,1.0,N2,FigS2b,6.486042941378925e-05,0.06486042941378925
Reduced,0.25,20.0,1347.3684210526317,0.7421875,1.0,N2,FigS2b,4.960889635715343e-05,0.04960889635715343
Reduced,0.25,20.0,1373.6842105263158,0.7279693486590038,1.0,N2,FigS2b,3.888222930620361e-05,0.03888222930620361
Reduced,0.25,20.0,1400.0,0.7142857142857143,1.0,N2,FigS2b,3.112606544079292e-05,0.03112606544079292
Optimized,0.0,1.2,1050.0,0.9523809523809523,1.0,N2,,2.816997294284488,2816.997294284488
Optimized,0.0,1.2,1100.0,0.9090909090909091,1.0,N2,,0.9297207292676176,929.7207292676176
Optimized,0.0,1.2,1150.0,0.8695652173913043,1.0,N2,,0.3295738226922878,329.5738226922878
Optimized,0.0,1.2,1200.0,0.8333333333333334,1.0,N2,,0.12537289317077518,125.37289317077519
Optimized,0.0,1.2,1250.0,0.8,1.0,N2,,0.051687709600316156,51.687709600316154
Optimized,0.0,1.2,1300.0,0.7692307692307693,1.0,N2,,0.023263960603005646,23.263960603005646
Optimized,0.0,1.2,1350.0,0.7407407407407407,1.0,N2,,0.011442065929560945,11.442065929560945
Optimized,0.0,1.2,1400.0,0.7142857142857143,1.0,N2,,0.0062457610585086,6.2457610585086
Optimized,0.0,1.2,1450.0,0.6896551724137931,1.0,N2,,0.0036619515238073305,3.6619515238073306
Optimized,0.0,1.2,1500.0,0.6666666666666666,1.0,N2,,0.002304774115692787,2.304774115692787
