mechanism,XH2_fuel,P_atm,T_K,X_NH3,X_H2O,X_NO,X_N2O
Reduced,0.05,1.0,1030.0,3.09302224099014e-07,0.2803540623167974,0.003871358383910059,2.587924019598104e-07
Reduced,0.05,1.0,1040.0,2.9882866212393204e-07,0.279819592129573,0.003921996885836263,2.580921891949458e-07
Reduced,0.05,1.0,1050.0,2.888836939637862e-07,0.27928082284595157,0.003973122130844733,2.5755205514209826e-07
Reduced,0.05,1.0,1060.0,2.794380798373846e-07,0.2787378108640049,0.004024729848327482,2.5716471130553103e-07
Reduced,0.05,1.0,1070.0,2.704643571391005e-07,0.2781906130246373,0.004076814918162965,2.5692321155863814e-07
Reduced,0.05,1.0,1080.0,2.619367254852497e-07,0.27763928656339454,0.004129371461143384,2.568209373177957e-07
Reduced,0.05,1.0,1090.0,2.538309401020686e-07,0.2770838890644879,0.004182392924281466,2.568515832156718e-07
Reduced,0.05,1.0,1100.0,2.461242111821998e-07,0.2765244784170066,0.004235872159811405,2.570091427048195e-07
Reduced,0.05,1.0,1110.0,2.387951115600904e-07,0.2759611127731877,0.00428980149964576,2.572878945836666e-07
Reduced,0.05,1.0,1120.0,2.3161306571579466e-07,0.275393853870595,0.004344014007897387,2.576143866286119e-07
Reduced,0.05,1.0,1130.0,2.2519038275433144e-07,0.27482275018487673,0.004398977619727999,2.5818743572965305e-07
Reduced,0.05,1.0,1140.0,2.1887795215507762e-07,0.2742478705125968,0.0044542070476213435,2.5879808924359796e-07
Reduced,0.05,1.0,1150.0,2.1267514217276878e-07,0.27366927061371504,0.00450970171067182,2.594469713386834e-07
Reduced,0.05,1.0,1160.0,2.071489127347068e-07,0.27308700851029233,0.00456590308158574,2.6031759632969694e-07
Reduced,0.05,1.0,1170.0,2.0151714836129248e-07,0.272501142499709,0.004622206136462976,2.6115828115660634e-07
Reduced,0.05,1.0,1180.0,1.9651339372566803e-07,0.2719117359182337,0.004679185443034287,2.6220582569265035e-07
Reduced,0.05,1.0,1190.0,1.915710926925935e-07,0.27131884309211163,0.004736397222837004,2.632781345902344e-07
Reduced,0.05,1.0,1200.0,1.868622101710336e-07,0.27072252451363593,0.0047939762572253046,2.644309051465448e-07
Reduced,0.05,1.0,1210.0,1.8237497845790166e-07,0.2701228390660691,0.004851912616948616,2.6566060315974525e-07
Reduced,0.05,1.0,1220.0,1.780982933058265e-07,0.2695198455489772,0.004910196346851623,2.669638567163471e-07
Reduced,0.05,1.0,1230.0,1.7402167531804704e-07,0.2689136026544307,0.004968817490682151,2.683374486478148e-07
